lat,lon,gym=0/ang=1,,,,,,,,,,,
47.16583333,7.26833333,0,,,,,,,,,,,
47.167,8.25,0,,,,,,,,,,,
47.17972222,8.25722222,0,,,,,,,,,,,
47.217,7.416,0,,,,,,,,,,,
47.329,-114.869,0,,,,,,,,,,,
47.95,16.06,0,,,,,,,,,,,
48.073,8.837,0,,,,,,,,,,,
48.35,-116.833,0,,,,,,,,,,,
48.366,-116.75,0,,,,,,,,,,,
48.574,-70.979,0,,,,,,,,,,,
48.624,-70.565,0,,,,,,,,,,,
48.625,-70.535,0,,,,,,,,,,,
48.675,-70.614,0,,,,,,,,,,,
48.902,-70.61,0,,,,,,,,,,,
49.15,9.53,0,,,,,,,,,,,
49.15,9.93,0,,,,,,,,,,,
50.036899,20.340865,0,,,,,,,,,,,
50.05,20.333,0,,,,,,,,,,,
50.2,18.19,0,,,,,,,,,,,
50.24,19.25,0,,,,,,,,,,,
50.9,18.56,0,,,,,,,,,,,
50.924,11.589,0,,,,,,,,,,,
51.3873,123.34,0,,,,,,,,,,,
51.41,-0.59,0,,,,,,,,,,,
51.4505,122.76,0,,,,,,,,,,,
52.23,-0.46,0,,,,,,,,,,,
52.233,104.183,0,,,,,,,,,,,
52.827,14.014,0,,,,,,,,,,,
53.283,107.633,0,,,,,,,,,,,
53.43,91.833,0,,,,,,,,,,,
53.72361111,91.84,0,,,,,,,,,,,
53.85,22.96,0,,,,,,,,,,,
54.1,22.93,0,,,,,,,,,,,
54.23,-71.39,0,,,,,,,,,,,
54.26138889,89.62388889,0,,,,,,,,,,,
54.267,89.617,0,,,,,,,,,,,
54.4,89.95,0,,,,,,,,,,,
54.644,25.184,0,,,,,,,,,,,
54.88,23.97,0,,,,,,,,,,,
55.85,108.917,0,,,,,,,,,,,
56.367,92.95,0,,,,,,,,,,,
57.15,-110.86,0,,,,,,,,,,,
57.333,-135.567,0,,,,,,,,,,,
57.917,-152.6,0,,,,,,,,,,,
58.49,-155.67,0,,,,,,,,,,,
59.267,27.3,0,,,,,,,,,,,
59.3,90.7,0,,,,,,,,,,,
59.44,18,0,,,,,,,,,,,
59.55,18,0,,,,,,,,,,,
59.81,-154.12,0,,,,,,,,,,,
60,133.817,0,,,,,,,,,,,
60.016,-112.016,0,,,,,,,,,,,
60.3,-153.99,0,,,,,,,,,,,
60.717,89.133,0,,,,,,,,,,,
60.75,89.38,0,,,,,,,,,,,
60.81,-150.85,0,,,,,,,,,,,
62,12.18,0,,,,,,,,,,,
62.233,129.617,0,,,,,,,,,,,
62.25,129.233,0,,,,,,,,,,,
62.98,30.98,0,,,,,,,,,,,
62.983,31.267,0,,,,,,,,,,,
62.98333333,31.26666667,0,,,,,,,,,,,
63.067,87.533,0,,,,,,,,,,,
63.1,139.08,0,,,,,,,,,,,
63.166,13.5,0,,,,,,,,,,,
63.16666667,13.5,0,,,,,,,,,,,
64.267,66.05,0,,,,,,,,,,,
64.4,-133.8111111,0,,,,,,,,,,,
64.53333333,100.2333333,0,,,,,,,,,,,
64.717,148.4,0,,,,,,,,,,,
65.8,87.9,0,,,,,,,,,,,
65.967,88.45,0,,,,,,,,,,,
66.367,26.717,0,,,,,,,,,,,
67.2,59.5,0,,,,,,,,,,,
67.5,-162.2,0,,,,,,,,,,,
67.732,33.714,0,,,,,,,,,,,
67.75,33.533,0,,,,,,,,,,,
67.898,20.082,0,,,,,,,,,,,
67.95,20.03,0,,,,,,,,,,,
68,-149.7,0,,,,,,,,,,,
68,-147,0,,,,,,,,,,,
68,20.03,0,,,,,,,,,,,
68.1,-161.7,0,,,,,,,,,,,
68.1,60,0,,,,,,,,,,,
68.133,23.4,0,,,,,,,,,,,
68.4,-133.8,0,,,,,,,,,,,
68.5,-133.483,0,,,,,,,,,,,
68.5,27.5,0,,,,,,,,,,,
68.55,22.14,0,,,,,,,,,,,
68.733,161.383,0,,,,,,,,,,,
68.8,15.733,0,,,,,,,,,,,
68.93,28.42,0,,,,,,,,,,,
68.933,28.31,0,,,,,,,,,,,
68.93333333,28.31666667,0,,,,,,,,,,,
69.117,27.25,0,,,,,,,,,,,
69.667,27.08,0,,,,,,,,,,,
70,148,0,,,,,,,,,,,
70.55,148.25,0,,,,,,,,,,,
70.633,103.35,0,,,,,,,,,,,
72,102,0,,,,,,,,,,,
35.78,104.05,1,,,,,,,,,,,
40.95,100.18,1,,,,,,,,,,,
56.21,-111.2,1,,,,,,,lat,lon,gym=0/ang=1,,e=0/d=1
45.5,-75.9,1,,,,,,,,,,,
-54.933,-67.633,1,,,,,,,,,,,
-54.9167,-67.617,1,,,,,,,,,,,
-53.633,-69.633,1,,,,,,,,,,,
-51.133,-72.57,1,,,,,,,,,,,
-51.1,-73.133,1,,,,,,,,,,,
-42.766,146.593,0,,,,,,,,,,,
-42.383,-72.417,0,,,,,,,,,,,
-41.533,-72.58,0,,,,,,,,,,,
-41.25,-71.28,1,,,,,,,,,,,
-41.1943,-71.622,1,,,,,,,,,,,
-41.18,-71.78,1,,,,,,,,,,,
-41.158,-71.7835,0,,,,,,,,,,,
-41.158,-71.78,0,,,,,,,,,,,
-41.15,-71.7,1,,,,,,,,,,,
-40.167,-73.43,0,,,,,,,,,,,
-40.05,-73.68,0,,,,,,,,,,,
-39.367,-71.967,1,,,,,,,,,,,
-36.917,-71.433,1,,,,,,,,,,,
-33.095,119.418,0,,,,,,,,,,,
-33.094,118.736,0,,,,,,,,,,,
-29.429,-50.391,0,,,,,,,,,,,
-28.593,-49.815,0,,,,,,,,,,,
-24.4,19.217,0,,,,,,,,,,,
-15.833,-62.85,1,,,,,,,,,,,
0.23333333,25.25,1,,,,,,,,,,,
4.667,11.533,1,,,,,,,,,,,
4.95,117.8,1,,,,,,,,,,,
5.033,-58.617,1,,,,,,,,,,,
5.217,9.1,1,,,,,,,,,,,
12.25,39.5,0,,,,,,,,,,,
12.617,37.45,0,,,,,,,,,,,
15.6,99.2,1,,,,,,,,,,,
16.65,-95,1,,,,,,,,,,,
19.274,-98.661,0,,,,,,,,,,,
